Pas de discretisation [s],Horizon [nb de pas de discretisation],Temps de calcul du probleme de minimisation [s]
0.1,5,0.733396053314
0.1,10,3.9329559803
0.1,15,11.5534749031
0.1,20,19.3783650398
0.1,30,44.1488010883
0.15,5,1.30335593224
0.15,10,4.63025808334
0.15,15,10.9582099915
0.15,20,20.2617402077
0.15,30,44.7629871368
0.2,5,1.13301992416
0.2,10,5.46438002586
0.2,15,15.092689991
0.2,20,30.0249609947
0.2,30,72.3942420483
0.3,5,1.13087296486
0.3,10,5.62912392616
0.3,15,15.4503729343
0.3,20,29.0380620956
0.3,30,62.0917639732
