Pas de discretisation [s],Horizon [nb de pas de discretisation],Temps de calcul du probleme de minimisation [s]
0.1,10,0.312507152557
0.1,15,0.823453903198
0.1,20,1.51749396324
0.1,25,2.80783510208
0.1,30,6.63397192955
0.1,40,31.5530569553
0.1,50,78.176856041
0.1,60,141.244756937
0.1,80,177.531544924
0.15,10,0.40630197525
0.15,15,1.24733185768
0.15,20,3.23458504677
0.15,25,10.0954339504
0.15,30,32.4667727947
0.15,40,130.905123949
0.15,50,99.9080910683
0.15,60,150.533018112
0.15,80,258.026624203
0.2,10,0.681406974792
0.2,15,2.49626302719
0.2,20,12.258245945
0.2,25,33.6844611168
0.2,30,55.5147228241
0.2,40,68.4252319336
0.2,50,128.008724928
0.2,60,141.780400038
0.2,80,142.458709002
0.25,10,0.769700050354
0.25,15,6.49332880974
0.25,20,23.2348940372
0.25,25,54.0958640575
0.25,30,99.9362151623
0.25,40,139.649281979
0.25,50,52.5591919422
0.25,60,110.482232094
0.25,80,393.402782917
0.3,10,0.890439987183
0.3,15,9.05052900314
0.3,20,27.3556671143
0.3,25,41.1295650005
0.3,30,40.4777779579
0.3,40,99.5386190414
0.3,50,42.0281639099
0.3,60,205.902823925
0.3,80,568.075533867
0.35,10,1.88544583321
0.35,15,11.3516728878
0.35,20,30.723129034
0.35,25,148.192244053
0.35,30,56.9623570442
0.35,40,66.2473208904
0.35,50,48.421954155
0.35,60,240.300806999
0.35,80,305.095757961
0.4,10,2.77360320091
0.4,15,14.1682479382
0.4,20,64.2814741135
0.4,25,77.8188459873
0.4,30,38.0562880039
0.4,40,52.6557219028
0.4,50,61.4105341434
0.4,60,429.210928202
0.4,80,251.930593967
