Pas de discretisation [s],Horizon [nb de pas de discretisation],Temps de calcul du probleme de minimisation [s]
0.01,10,0.172319889069
0.01,15,0.443652153015
0.01,20,0.878749847412
0.01,25,1.52562189102
0.01,30,2.20738101006
0.01,40,4.29951405525
0.01,50,6.76274800301
0.01,60,9.78876590729
0.01,80,17.4788661003
0.05,10,1.12657499313
0.05,15,3.015625
0.05,20,4.73586392403
0.05,25,7.44904994965
0.05,30,12.3909111023
0.05,40,22.3621280193
0.05,50,48.5627450943
0.05,60,114.580429077
0.05,80,416.969691992
0.1,10,2.26885890961
0.1,15,6.12413311005
0.1,20,10.9274148941
0.1,25,19.5671269894
0.1,30,46.9577300549
0.1,40,185.748569012
0.1,50,708.027087927
0.1,60,894.341918945
0.1,80,1281.732831
